Value,Time,Label,TrackID,ID,Embryo.Id,TE.ICM,Identity,SpotID,UniqueID,Mitosis,MtUniqueID,X,Y,Z,TimeM,Cell_number,Stage
1.83723,1,ICM;PrE,1000000012,288,082119_p1,ICM,PrE,082119_p1_288,082119_p11000000012,Parent,082119_p11000000012Parent,59.4469,58.257,27.5009,0,56,32_64
2.62685,1,ICM;PrE,1000000013,312,082119_p1,ICM,PrE,082119_p1_312,082119_p11000000013,Parent,082119_p11000000013Parent,42.205,78.2322,27.4954,0,56,32_64
1.24165,1,EPI;ICM,1000000014,336,082119_p1,ICM,EPI,082119_p1_336,082119_p11000000014,Parent,082119_p11000000014Parent,64.6164,46.0798,30.9717,0,56,32_64
1.39901,1,ICM;PrE,1000000015,367,082119_p1,ICM,PrE,082119_p1_367,082119_p11000000015,Parent,082119_p11000000015Parent,51,49,37,0,56,32_64
2.03143,1,TE_Polar,1000000016,391,082119_p1,TE,Polar TE,082119_p1_391,082119_p11000000016,Parent,082119_p11000000016Parent,74.5045,66.5597,5.60742,0,56,32_64
0.376195,1,Mitosis;TE_Mural,1000000017,419,082119_p1,TE,Mural TE,082119_p1_419,082119_p11000000017,Parent,082119_p11000000017Parent,86.4026,54.9359,21.0356,0,56,32_64
1.75263,1,TE_Polar,1000000018,466,082119_p1,TE,Polar TE,082119_p1_466,082119_p11000000018,Parent,082119_p11000000018Parent,69.9281,45.803,21.2433,0,56,32_64
1.84488,1,TE_Polar,1000000019,490,082119_p1,TE,Polar TE,082119_p1_490,082119_p11000000019,Parent,082119_p11000000019Parent,46.4942,57.4267,9.70151,0,56,32_64
1.26381,1,TE_Polar,1000000020,514,082119_p1,TE,Polar TE,082119_p1_514,082119_p11000000020,Parent,082119_p11000000020Parent,47.7497,91.4649,17,0,56,32_64
1.33574,1,TE_Polar,1000000021,538,082119_p1,TE,Polar TE,082119_p1_538,082119_p11000000021,Parent,082119_p11000000021Parent,40.247,55.2315,29,0,56,32_64
1.61832,1,TE_Polar,1000000022,556,082119_p1,TE,Polar TE,082119_p1_556,082119_p11000000022,Parent,082119_p11000000022Parent,31.7382,73.2018,30.8656,0,56,32_64
1.135,1,TE_Mural,1000000023,580,082119_p1,TE,Mural TE,082119_p1_580,082119_p11000000023,Parent,082119_p11000000023Parent,89.5592,73.2018,6,0,56,32_64
0.699608,1,TE_Mural,1000000024,604,082119_p1,TE,Mural TE,082119_p1_604,082119_p11000000024,Parent,082119_p11000000024Parent,104.814,62.6851,22.7458,0,56,32_64
1.86697,1,TE_Polar,1000000025,628,082119_p1,TE,Polar TE,082119_p1_628,082119_p11000000025,Parent,082119_p11000000025Parent,63.8899,90.7236,7,0,56,32_64
0.914069,1,TE_Mural,1000000026,652,082119_p1,TE,Mural TE,082119_p1_652,082119_p11000000026,Parent,082119_p11000000026Parent,82.5387,42.4819,35.3558,0,56,32_64
0.610673,1,TE_Mural,1000000027,676,082119_p1,TE,Mural TE,082119_p1_676,082119_p11000000027,Parent,082119_p11000000027Parent,83.9949,102.334,9.37518,0,56,32_64
1.01261,1,TE_Mural,1000000028,700,082119_p1,TE,Mural TE,082119_p1_700,082119_p11000000028,Parent,082119_p11000000028Parent,98.6629,92.2948,8.53955,0,56,32_64
0.709608,1,TE_Mural,1000000029,724,082119_p1,TE,Mural TE,082119_p1_724,082119_p11000000029,Parent,082119_p11000000029Parent,111.947,88.4167,24.2066,0,56,32_64
0.744613,1,TE_Mural,1000000030,748,082119_p1,TE,Mural TE,082119_p1_748,082119_p11000000030,Parent,082119_p11000000030Parent,116.098,74.854,31.5197,0,56,32_64
1.70186,2,ICM;PrE,1000000000,749,082119_p1,ICM,PrE,082119_p1_749,082119_p11000000000,Parent,082119_p11000000000Parent,62.9592,82.8135,13,5,56,32_64
1.39648,2,EPI;ICM,1000000001,750,082119_p1,ICM,EPI,082119_p1_750,082119_p11000000001,Parent,082119_p11000000001Parent,65.4524,67.7373,10.4004,5,56,32_64
1.32791,2,EPI;ICM,1000000002,751,082119_p1,ICM,EPI,082119_p1_751,082119_p11000000002,Parent,082119_p11000000002Parent,51.3379,83.9941,17.3929,5,56,32_64
2.1165,2,ICM;PrE,1000000003,752,082119_p1,ICM,PrE,082119_p1_752,082119_p11000000003,Parent,082119_p11000000003Parent,71.2288,63.2386,19.7198,5,56,32_64
1.19082,2,EPI;ICM,1000000004,753,082119_p1,ICM,EPI,082119_p1_753,082119_p11000000004,Parent,082119_p11000000004Parent,56.0428,61.1925,14.1953,5,56,32_64
1.91923,2,DP;ICM,1000000005,754,082119_p1,ICM,DP,082119_p1_754,082119_p11000000005,Parent,082119_p11000000005Parent,56.3195,73.8823,8.80493,5,56,32_64
1.43652,2,ICM,1000000006,755,082119_p1,ICM,ICM,082119_p1_755,082119_p11000000006,Parent,082119_p11000000006Parent,44.9138,76.5229,19.5578,5,56,32_64
1.74883,2,ICM;PrE,1000000007,756,082119_p1,ICM,PrE,082119_p1_756,082119_p11000000007,Parent,082119_p11000000007Parent,60.4708,72.1564,18.1208,5,56,32_64
1.3295,2,DP;ICM,1000000008,757,082119_p1,ICM,DP,082119_p1_757,082119_p11000000008,Parent,082119_p11000000008Parent,42.0565,68.4969,26.1039,5,56,32_64
1.19892,2,DP;ICM,1000000009,758,082119_p1,ICM,DP,082119_p1_758,082119_p11000000009,Parent,082119_p11000000009Parent,57.7033,53.4808,24.2441,5,56,32_64
1.59832,2,ICM;PrE,1000000010,759,082119_p1,ICM,PrE,082119_p1_759,082119_p11000000010,Parent,082119_p11000000010Parent,55.3303,72.0179,27,5,56,32_64
1.1919,2,EPI;ICM,1000000011,760,082119_p1,ICM,EPI,082119_p1_760,082119_p11000000011,Parent,082119_p11000000011Parent,51.7878,61.8548,27.9889,5,56,32_64
1.52659,2,ICM;PrE,1000000012,761,082119_p1,ICM,PrE,082119_p1_761,082119_p11000000012,Parent,082119_p11000000012Parent,61.8928,59.6408,26.5942,5,56,32_64
2.33272,2,ICM;PrE,1000000013,762,082119_p1,ICM,PrE,082119_p1_762,082119_p11000000013,Parent,082119_p11000000013Parent,43.3121,78.8537,27.8892,5,56,32_64
1.23831,2,EPI;ICM,1000000014,763,082119_p1,ICM,EPI,082119_p1_763,082119_p11000000014,Parent,082119_p11000000014Parent,68.7976,48.5706,31.0103,5,56,32_64
1.48543,2,ICM;PrE,1000000015,764,082119_p1,ICM,PrE,082119_p1_764,082119_p11000000015,Parent,082119_p11000000015Parent,54,51.5104,37,5,56,32_64
1.80633,2,TE_Polar,1000000016,765,082119_p1,TE,Polar TE,082119_p1_765,082119_p11000000016,Parent,082119_p11000000016Parent,74.2512,69.3272,3.44089,5,56,32_64
0.921853,2,Daughter1;Mitosis;TE_Mural,1000000017,766,082119_p1,TE,Mural TE,082119_p1_766,082119_p11000000017,Daughter1,082119_p11000000017Daughter1,94.1266,54.6592,25.9133,5,56,32_64
0.997656,2,Daughter2;Mitosis;TE_Mural,1000000017,767,082119_p1,TE,Mural TE,082119_p1_767,082119_p11000000017,Daughter2,082119_p11000000017Daughter2,80.9507,63.2056,14.3518,5,56,32_64
1.65866,2,TE_Polar,1000000018,768,082119_p1,TE,Polar TE,082119_p1_768,082119_p11000000018,Parent,082119_p11000000018Parent,73.6735,49.9543,22.1413,5,56,32_64
1.72929,2,TE_Polar,1000000019,769,082119_p1,TE,Polar TE,082119_p1_769,082119_p11000000019,Parent,082119_p11000000019Parent,47.6032,58.8105,10.2722,5,56,32_64
1.17962,2,TE_Polar,1000000020,770,082119_p1,TE,Polar TE,082119_p1_770,082119_p11000000020,Parent,082119_p11000000020Parent,47.2766,92.892,17,5,56,32_64
1.19854,2,TE_Polar,1000000021,771,082119_p1,TE,Polar TE,082119_p1_771,082119_p11000000021,Parent,082119_p11000000021Parent,42.9333,55.7136,29,5,56,32_64
1.65849,2,TE_Polar,1000000022,772,082119_p1,TE,Polar TE,082119_p1_772,082119_p11000000022,Parent,082119_p11000000022Parent,32.8293,72.6483,31.782,5,56,32_64
1.13247,2,TE_Mural,1000000023,773,082119_p1,TE,Mural TE,082119_p1_773,082119_p11000000023,Parent,082119_p11000000023Parent,89.9034,77.3531,5,5,56,32_64
0.718895,2,TE_Mural,1000000024,774,082119_p1,TE,Mural TE,082119_p1_774,082119_p11000000024,Parent,082119_p11000000024Parent,106.06,67.3899,23.7607,5,56,32_64
1.72767,2,TE_Polar,1000000025,775,082119_p1,TE,Polar TE,082119_p1_775,082119_p11000000025,Parent,082119_p11000000025Parent,63.1761,92.8649,7,5,56,32_64
0.986993,2,TE_Mural,1000000026,776,082119_p1,TE,Mural TE,082119_p1_776,082119_p11000000026,Parent,082119_p11000000026Parent,85.8028,46.3565,36.7699,5,56,32_64
0.593665,2,TE_Mural,1000000027,777,082119_p1,TE,Mural TE,082119_p1_777,082119_p11000000027,Parent,082119_p11000000027Parent,81.2274,107.284,10.3524,5,56,32_64
0.975299,2,TE_Mural,1000000028,778,082119_p1,TE,Mural TE,082119_p1_778,082119_p11000000028,Parent,082119_p11000000028Parent,98.1094,97.4838,9.1767,5,56,32_64
0.741858,2,TE_Mural,1000000029,779,082119_p1,TE,Mural TE,082119_p1_779,082119_p11000000029,Parent,082119_p11000000029Parent,111.394,93.484,24.7738,5,56,32_64
0.815452,2,TE_Mural,1000000030,780,082119_p1,TE,Mural TE,082119_p1_780,082119_p11000000030,Parent,082119_p11000000030Parent,116.375,80.1728,31.0975,5,56,32_64
1.32466,3,ICM;PrE,1000000000,781,082119_p1,ICM,PrE,082119_p1_781,082119_p11000000000,Parent,082119_p11000000000Parent,61.5769,85.4975,15,10,56,32_64
1.36154,3,EPI;ICM,1000000001,782,082119_p1,ICM,EPI,082119_p1_782,082119_p11000000001,Parent,082119_p11000000001Parent,66.0059,70.3151,10.9142,10,56,32_64
1.19526,3,EPI;ICM,1000000002,783,082119_p1,ICM,EPI,082119_p1_783,082119_p11000000002,Parent,082119_p11000000002Parent,50.2309,86.07,19.8733,10,56,32_64
1.74427,3,ICM;PrE,1000000003,784,082119_p1,ICM,PrE,082119_p1_784,082119_p11000000003,Parent,082119_p11000000003Parent,72.0684,66.0061,19.8047,10,56,32_64
1.15269,3,EPI;ICM,1000000004,785,082119_p1,ICM,EPI,082119_p1_785,082119_p11000000004,Parent,082119_p11000000004Parent,56.3195,63.7386,13.7885,10,56,32_64
1.35009,3,DP;ICM,1000000005,786,082119_p1,ICM,DP,082119_p1_786,082119_p11000000005,Parent,082119_p11000000005Parent,56.0428,76.3239,9.50598,10,56,32_64
1.81303,3,ICM,1000000006,787,082119_p1,ICM,ICM,082119_p1_787,082119_p11000000006,Parent,082119_p11000000006Parent,45.3795,77.6299,19.7965,10,56,32_64
1.67851,3,ICM;PrE,1000000007,788,082119_p1,ICM,PrE,082119_p1_788,082119_p11000000007,Parent,082119_p11000000007Parent,60.1941,75.0042,18.3177,10,56,32_64
1.71409,3,DP;ICM,1000000008,789,082119_p1,ICM,DP,082119_p1_789,082119_p11000000008,Parent,082119_p11000000008Parent,43.0587,70.1575,26.2101,10,56,32_64
1.14793,3,DP;ICM,1000000009,790,082119_p1,ICM,DP,082119_p1_790,082119_p11000000009,Parent,082119_p11000000009Parent,58.5336,54.2149,25.112,10,56,32_64
1.73911,3,ICM;PrE,1000000010,791,082119_p1,ICM,PrE,082119_p1_791,082119_p11000000010,Parent,082119_p11000000010Parent,55.5242,74.1683,31,10,56,32_64
1.58984,3,EPI;ICM,1000000011,792,082119_p1,ICM,EPI,082119_p1_792,082119_p11000000011,Parent,082119_p11000000011Parent,52.754,62.9618,28.7928,10,56,32_64
1.47068,3,ICM;PrE,1000000012,793,082119_p1,ICM,PrE,082119_p1_793,082119_p11000000012,Parent,082119_p11000000012Parent,63.3132,61.3013,27.6504,10,56,32_64
2.40237,3,ICM;PrE,1000000013,794,082119_p1,ICM,PrE,082119_p1_794,082119_p11000000013,Parent,082119_p11000000013Parent,43.5888,79.5286,29.4635,10,56,32_64
1.14116,3,EPI;ICM,1000000014,795,082119_p1,ICM,EPI,082119_p1_795,082119_p11000000014,Parent,082119_p11000000014Parent,69.8877,51.6149,31.7976,10,56,32_64
1.27993,3,ICM;PrE,1000000015,796,082119_p1,ICM,PrE,082119_p1_796,082119_p11000000015,Parent,082119_p11000000015Parent,55.5,53,37,10,56,32_64
1.34171,3,TE_Polar,1000000016,797,082119_p1,TE,Polar TE,082119_p1_797,082119_p11000000016,Parent,082119_p11000000016Parent,73.2273,72.6483,1.29388,10,56,32_64
0.872005,3,Daughter1;Mitosis;TE_Mural,1000000017,798,082119_p1,TE,Mural TE,082119_p1_798,082119_p11000000017,Daughter1,082119_p11000000017Daughter1,96.6629,57.9802,26.6268,10,56,32_64
0.894117,3,Daughter2;Mitosis;TE_Mural,1000000017,799,082119_p1,TE,Mural TE,082119_p1_799,082119_p11000000017,Daughter2,082119_p11000000017Daughter2,81.9843,64.6224,12.5676,10,56,32_64
1.58804,3,TE_Polar,1000000018,800,082119_p1,TE,Polar TE,082119_p1_800,082119_p11000000018,Parent,082119_p11000000018Parent,75.5346,52.4451,21.0594,10,56,32_64
1.74836,3,TE_Polar,1000000019,801,082119_p1,TE,Polar TE,082119_p1_801,082119_p11000000019,Parent,082119_p11000000019Parent,49.1511,59.9175,12.5622,10,56,32_64
1.17769,3,TE_Polar,1000000020,802,082119_p1,TE,Polar TE,082119_p1_802,082119_p11000000020,Parent,082119_p11000000020Parent,45.7821,94.6812,19,10,56,32_64
1.30862,3,TE_Polar,1000000021,803,082119_p1,TE,Polar TE,082119_p1_803,082119_p11000000021,Parent,082119_p11000000021Parent,44.4356,57.4181,29,10,56,32_64
1.42889,3,TE_Polar,1000000022,804,082119_p1,TE,Polar TE,082119_p1_804,082119_p11000000022,Parent,082119_p11000000022Parent,33.6325,73.4785,33.7341,10,56,32_64
1.14202,3,TE_Mural,1000000023,805,082119_p1,TE,Mural TE,082119_p1_805,082119_p11000000023,Parent,082119_p11000000023Parent,89.7081,80.3974,5,10,56,32_64
0.703776,3,TE_Mural,1000000024,806,082119_p1,TE,Mural TE,082119_p1_806,082119_p11000000024,Parent,082119_p11000000024Parent,106.316,70.9877,22.5522,10,56,32_64
1.6617,3,TE_Polar,1000000025,807,082119_p1,TE,Polar TE,082119_p1_807,082119_p11000000025,Parent,082119_p11000000025Parent,62.4623,97.0285,7,10,56,32_64
0.93729,3,TE_Mural,1000000026,808,082119_p1,TE,Mural TE,082119_p1_808,082119_p11000000026,Parent,082119_p11000000026Parent,88.4918,49.6776,37.7174,10,56,32_64
0.609223,3,TE_Mural,1000000027,809,082119_p1,TE,Mural TE,082119_p1_809,082119_p11000000027,Parent,082119_p11000000027Parent,79.5669,111.358,9.53244,10,56,32_64
0.9763,3,TE_Mural,1000000028,810,082119_p1,TE,Mural TE,082119_p1_810,082119_p11000000028,Parent,082119_p11000000028Parent,97.2792,101.381,8.42767,10,56,32_64
0.767959,3,TE_Mural,1000000029,811,082119_p1,TE,Mural TE,082119_p1_811,082119_p11000000029,Parent,082119_p11000000029Parent,110.84,98.0221,22.9261,10,56,32_64
0.779324,3,TE_Mural,1000000030,812,082119_p1,TE,Mural TE,082119_p1_812,082119_p11000000030,Parent,082119_p11000000030Parent,116.375,85.893,31.5479,10,56,32_64
1.72637,4,ICM;PrE,1000000000,813,082119_p1,ICM,PrE,082119_p1_813,082119_p11000000000,Parent,082119_p11000000000Parent,60.4643,86.45,13,15,56,32_64
1.28622,4,EPI;ICM,1000000001,814,082119_p1,ICM,EPI,082119_p1_814,082119_p11000000001,Parent,082119_p11000000001Parent,65.1757,72.087,10.1518,15,56,32_64
1.24483,4,EPI;ICM,1000000002,815,082119_p1,ICM,EPI,082119_p1_815,082119_p11000000002,Parent,082119_p11000000002Parent,49.4007,86.0183,17.7665,15,56,32_64
1.76965,4,ICM;PrE,1000000003,816,082119_p1,ICM,PrE,082119_p1_816,082119_p11000000003,Parent,082119_p11000000003Parent,71.5131,66.8364,19.2609,15,56,32_64
1.15365,4,EPI;ICM,1000000004,817,082119_p1,ICM,EPI,082119_p1_817,082119_p11000000004,Parent,082119_p11000000004Parent,57.4265,64.0212,13.9324,15,56,32_64
1.282,4,DP;ICM,1000000005,818,082119_p1,ICM,DP,082119_p1_818,082119_p11000000005,Parent,082119_p11000000005Parent,55.2125,76.7187,9.33456,15,56,32_64
1.96143,4,ICM,1000000006,819,082119_p1,ICM,ICM,082119_p1_819,082119_p11000000006,Parent,082119_p11000000006Parent,44.5984,77.0764,19.1677,15,56,32_64
1.6789,4,ICM;PrE,1000000007,820,082119_p1,ICM,PrE,082119_p1_820,082119_p11000000007,Parent,082119_p11000000007Parent,59.6406,75.2725,18.6122,15,56,32_64
1.57759,4,DP;ICM,1000000008,821,082119_p1,ICM,DP,082119_p1_821,082119_p11000000008,Parent,082119_p11000000008Parent,42.5183,68.4969,26.1174,15,56,32_64
1.27529,4,DP;ICM,1000000009,822,082119_p1,ICM,DP,082119_p1_822,082119_p11000000009,Parent,082119_p11000000009Parent,58.5336,54.9481,25.3092,15,56,32_64
1.7904,4,ICM;PrE,1000000010,823,082119_p1,ICM,PrE,082119_p1_823,082119_p11000000010,Parent,082119_p11000000010Parent,54.5097,74.2064,29,15,56,32_64
1.46221,4,EPI;ICM,1000000011,824,082119_p1,ICM,EPI,082119_p1_824,082119_p11000000011,Parent,082119_p11000000011Parent,52.442,63.2386,28.2958,15,56,32_64
1.25768,4,ICM;PrE,1000000012,825,082119_p1,ICM,PrE,082119_p1_825,082119_p11000000012,Parent,082119_p11000000012Parent,61.7438,61.3013,25.6708,15,56,32_64
2.27709,4,ICM;PrE,1000000013,826,082119_p1,ICM,PrE,082119_p1_826,082119_p11000000013,Parent,082119_p11000000013Parent,42.205,79.6744,29.0342,15,56,32_64
1.17453,4,EPI;ICM,1000000014,827,082119_p1,ICM,EPI,082119_p1_827,082119_p11000000014,Parent,082119_p11000000014Parent,70.8344,52.7219,32.2455,15,56,32_64
1.2702,4,ICM;PrE,1000000015,828,082119_p1,ICM,PrE,082119_p1_828,082119_p11000000015,Parent,082119_p11000000015Parent,56,54.0792,38,15,56,32_64
1.47479,4,TE_Polar,1000000016,829,082119_p1,TE,Polar TE,082119_p1_829,082119_p11000000016,Parent,082119_p11000000016Parent,74.2815,73.4785,1.41745,15,56,32_64
0.851245,4,Daughter1;Mitosis;TE_Mural,1000000017,830,082119_p1,TE,Mural TE,082119_p1_830,082119_p11000000017,Daughter1,082119_p11000000017Daughter1,98.8622,60.1943,27.3615,15,56,32_64
0.938539,4,Daughter2;Mitosis;TE_Mural,1000000017,831,082119_p1,TE,Mural TE,082119_p1_831,082119_p11000000017,Daughter2,082119_p11000000017Daughter2,82.6382,67.1132,11.0229,15,56,32_64
1.556,4,TE_Polar,1000000018,832,082119_p1,TE,Polar TE,082119_p1_832,082119_p11000000018,Parent,082119_p11000000018Parent,76.3661,54.1057,22.3505,15,56,32_64
1.64266,4,TE_Polar,1000000019,833,082119_p1,TE,Polar TE,082119_p1_833,082119_p11000000019,Parent,082119_p11000000019Parent,50.2644,59.9175,10.9256,15,56,32_64
1.33809,4,TE_Polar,1000000020,834,082119_p1,TE,Polar TE,082119_p1_834,082119_p11000000020,Parent,082119_p11000000020Parent,45.0299,94.9314,17,15,56,32_64
1.31951,4,TE_Polar,1000000021,835,082119_p1,TE,Polar TE,082119_p1_835,082119_p11000000021,Parent,082119_p11000000021Parent,45.282,56.733,29,15,56,32_64
1.50709,4,TE_Polar,1000000022,836,082119_p1,TE,Polar TE,082119_p1_836,082119_p11000000022,Parent,082119_p11000000022Parent,33.2933,71.5413,32.3618,15,56,32_64
1.1549,4,TE_Mural,1000000023,837,082119_p1,TE,Mural TE,082119_p1_837,082119_p11000000023,Parent,082119_p11000000023Parent,89.6174,83.4417,4,15,56,32_64
0.715009,4,TE_Mural,1000000024,838,082119_p1,TE,Mural TE,082119_p1_838,082119_p11000000024,Parent,082119_p11000000024Parent,107.712,75.4158,23.1603,15,56,32_64
1.53667,4,TE_Polar,1000000025,839,082119_p1,TE,Polar TE,082119_p1_839,082119_p11000000025,Parent,082119_p11000000025Parent,60.9158,98.4561,7,15,56,32_64
1.04895,4,TE_Mural,1000000026,840,082119_p1,TE,Mural TE,082119_p1_840,082119_p11000000026,Parent,082119_p11000000026Parent,90.3144,51.8916,36.7851,15,56,32_64
0.622503,4,TE_Mural,1000000027,841,082119_p1,TE,Mural TE,082119_p1_841,082119_p11000000027,Parent,082119_p11000000027Parent,78.4599,113.518,9.25232,15,56,32_64
0.994967,4,TE_Mural,1000000028,842,082119_p1,TE,Mural TE,082119_p1_842,082119_p11000000028,Parent,082119_p11000000028Parent,95.6186,104.759,8.96707,15,56,32_64
0.757747,4,TE_Mural,1000000029,843,082119_p1,TE,Mural TE,082119_p1_843,082119_p11000000029,Parent,082119_p11000000029Parent,109.18,100.9,22.4741,15,56,32_64
0.839785,4,TE_Mural,1000000030,844,082119_p1,TE,Mural TE,082119_p1_844,082119_p11000000030,Parent,082119_p11000000030Parent,115.822,89.544,30.3756,15,56,32_64
1.7627,5,ICM;PrE,1000000000,845,082119_p1,ICM,PrE,082119_p1_845,082119_p11000000000,Parent,082119_p11000000000Parent,59.769,87.0786,13,20,56,32_64
1.27681,5,EPI;ICM,1000000001,846,082119_p1,ICM,EPI,082119_p1_846,082119_p11000000001,Parent,082119_p11000000001Parent,64.6221,73.055,10.2777,20,56,32_64
1.29154,5,EPI;ICM,1000000002,847,082119_p1,ICM,EPI,082119_p1_847,082119_p11000000002,Parent,082119_p11000000002Parent,48.2936,86.7291,18.7155,20,56,32_64
1.42743,5,ICM;PrE,1000000003,848,082119_p1,ICM,PrE,082119_p1_848,082119_p11000000003,Parent,082119_p11000000003Parent,71.325,68.2202,18.1671,20,56,32_64
1.19187,5,EPI;ICM,1000000004,849,082119_p1,ICM,EPI,082119_p1_849,082119_p11000000004,Parent,082119_p11000000004Parent,57.4265,65.2105,13.4581,20,56,32_64
1.30568,5,DP;ICM,1000000005,850,082119_p1,ICM,DP,082119_p1_850,082119_p11000000005,Parent,082119_p11000000005Parent,54.9357,77.2738,9.89188,20,56,32_64
1.63551,5,ICM,1000000006,851,082119_p1,ICM,ICM,082119_p1_851,082119_p11000000006,Parent,082119_p11000000006Parent,43.3289,77.3531,19.0364,20,56,32_64
1.35867,5,ICM;PrE,1000000007,852,082119_p1,ICM,PrE,082119_p1_852,082119_p11000000007,Parent,082119_p11000000007Parent,58.5336,76.1888,18.1877,20,56,32_64
1.36196,5,DP;ICM,1000000008,853,082119_p1,ICM,DP,082119_p1_853,082119_p11000000008,Parent,082119_p11000000008Parent,42.1656,68.7737,25.4567,20,56,32_64
1.26858,5,DP;ICM,1000000009,854,082119_p1,ICM,DP,082119_p1_854,082119_p11000000009,Parent,082119_p11000000009Parent,59.0871,56.2947,25.2289,20,56,32_64
1.65974,5,ICM;PrE,1000000010,855,082119_p1,ICM,PrE,082119_p1_855,082119_p11000000010,Parent,082119_p11000000010Parent,53.5036,74.6968,31,20,56,32_64
1.29671,5,EPI;ICM,1000000011,856,082119_p1,ICM,EPI,082119_p1_856,082119_p11000000011,Parent,082119_p11000000011Parent,51.8282,63.2386,29.5385,20,56,32_64
1.36459,5,ICM;PrE,1000000012,857,082119_p1,ICM,PrE,082119_p1_857,082119_p11000000012,Parent,082119_p11000000012Parent,62.289,62.4083,25.9154,20,56,32_64
2.03638,5,ICM;PrE,1000000013,858,082119_p1,ICM,PrE,082119_p1_858,082119_p11000000013,Parent,082119_p11000000013Parent,41.3748,79.5207,29.4854,20,56,32_64
1.20145,5,EPI;ICM,1000000014,859,082119_p1,ICM,EPI,082119_p1_859,082119_p11000000014,Parent,082119_p11000000014Parent,70.4698,53.8289,34.8032,20,56,32_64
1.26257,5,ICM;PrE,1000000015,860,082119_p1,ICM,PrE,082119_p1_860,082119_p11000000015,Parent,082119_p11000000015Parent,57,54,39,20,56,32_64
1.50972,5,TE_Polar,1000000016,861,082119_p1,TE,Polar TE,082119_p1_861,082119_p11000000016,Parent,082119_p11000000016Parent,72.4648,76.5229,1.11667,20,56,32_64
0.669255,5,Daughter1;TE_Mural,1000000017,862,082119_p1,TE,Mural TE,082119_p1_862,082119_p11000000017,Daughter1,082119_p11000000017Daughter1,99.118,62.9618,26.5009,20,56,32_64
0.834789,5,Daughter2;TE_Mural,1000000017,863,082119_p1,TE,Mural TE,082119_p1_863,082119_p11000000017,Daughter2,082119_p11000000017Daughter2,82.0012,68.2202,11.0531,20,56,32_64
1.53216,5,TE_Polar,1000000018,864,082119_p1,TE,Polar TE,082119_p1_864,082119_p11000000018,Parent,082119_p11000000018Parent,77.0083,54.6592,21.0653,20,56,32_64
1.53249,5,TE_Polar,1000000019,865,082119_p1,TE,Polar TE,082119_p1_865,082119_p11000000019,Parent,082119_p11000000019Parent,50.2444,60.471,10.629,20,56,32_64
1.30276,5,TE_Polar,1000000020,866,082119_p1,TE,Polar TE,082119_p1_866,082119_p11000000020,Parent,082119_p11000000020Parent,43.9657,95.2988,17,20,56,32_64
1.21837,5,TE_Polar,1000000021,867,082119_p1,TE,Polar TE,082119_p1_867,082119_p11000000021,Parent,082119_p11000000021Parent,45.4532,57.1225,29,20,56,32_64
1.59494,5,TE_Polar,1000000022,868,082119_p1,TE,Polar TE,082119_p1_868,082119_p11000000022,Parent,082119_p11000000022Parent,32.1702,72.0948,32.4784,20,56,32_64
